Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %,HPR,HL %,Mkt Cap ($B)
2017-10-03,235.05,235.58,234.96,235.55,66810200,0.0,0,0.21,0.21,0.26,212.61
2017-10-04,235.39,236.09,235.27,235.83,55953600,0.0,0,0.19,0.12,0.35,212.86
2017-10-05,236.18,237.25,235.87,237.23,63522800,0.0,0,0.44,0.59,0.58,214.12
2017-10-06,236.75,237.26,236.47,236.96,80646000,0.0,0,0.09,-0.11,0.33,213.88
2017-10-09,237.2,237.26,236.29,236.57,35803100,0.0,0,-0.27,-0.17,0.41,213.52
2017-10-10,237.17,237.59,236.59,237.19,43057400,0.0,0,0.01,0.26,0.42,214.09
2017-10-11,237.09,237.56,236.91,237.56,47674300,0.0,0,0.2,0.16,0.28,214.42
2017-10-12,237.23,237.6,236.96,237.21,47065100,0.0,0,-0.01,-0.15,0.27,214.1
2017-10-13,237.67,237.8,237.21,237.5,54800400,0.0,0,-0.07,0.12,0.25,214.37
2017-10-16,237.74,238.02,237.38,237.81,38221700,0.0,0,0.03,0.13,0.27,214.65
2017-10-17,237.76,238.03,237.53,237.98,31561000,0.0,0,0.09,0.07,0.21,214.8
2017-10-18,238.38,238.43,238.01,238.21,40888300,0.0,0,-0.07,0.1,0.18,215.01
2017-10-19,237.39,238.32,236.94,238.28,61903800,0.0,0,0.38,0.03,0.58,215.07
2017-10-20,239.13,239.54,238.26,239.51,89176400,0.0,0,0.16,0.52,0.54,216.18
2017-10-23,239.85,239.88,238.49,238.58,63915300,0.0,0,-0.53,-0.39,0.58,215.34
2017-10-24,239.03,239.25,238.62,239.0,66935900,0.0,0,-0.02,0.18,0.27,215.72
2017-10-25,238.64,238.76,236.61,237.81,103715300,0.0,0,-0.35,-0.5,0.91,214.65
2017-10-26,238.47,238.75,237.99,238.12,69798000,0.0,0,-0.14,0.13,0.32,214.93
2017-10-27,238.91,240.24,238.13,240.07,85562500,0.0,0,0.48,0.82,0.88,216.69
2017-10-30,238.91,239.97,238.86,239.17,54285700,0.0,0,0.11,-0.37,0.46,215.88
2017-10-31,239.57,239.82,239.23,239.55,60304800,0.0,0,-0.01,0.16,0.25,216.21
2017-11-01,240.38,240.74,239.47,239.86,54202700,0.0,0,-0.21,0.13,0.53,216.5
2017-11-02,239.79,240.11,238.65,239.96,56449500,0.0,0,0.07,0.04,0.61,216.58
2017-11-03,240.12,240.8,239.69,240.76,59589700,0.0,0,0.26,0.33,0.47,217.31
2017-11-06,240.62,241.27,240.54,241.13,49652600,0.0,0,0.21,0.15,0.3,217.64
2017-11-07,241.24,241.6,240.42,240.96,57502200,0.0,0,-0.12,-0.07,0.49,217.49
2017-11-08,240.78,241.48,240.48,241.37,50469600,0.0,0,0.25,0.17,0.41,217.86
2017-11-09,240.09,240.7,238.81,240.5,95085500,0.0,0,0.17,-0.36,0.79,217.07
2017-11-10,240.09,240.61,239.75,240.42,59984700,0.0,0,0.14,-0.03,0.36,217.01
2017-11-13,239.7,240.89,239.66,240.65,50228600,0.0,0,0.4,0.09,0.51,217.21
2017-11-14,239.79,240.2,238.96,240.09,61315200,0.0,0,0.12,-0.23,0.52,216.7
2017-11-15,239.05,239.61,238.13,238.89,80811500,0.0,0,-0.07,-0.5,0.62,215.62
2017-11-16,239.89,241.31,239.84,240.92,67777000,0.0,0,0.43,0.85,0.61,217.45
2017-11-17,240.54,240.89,240.12,240.21,75756800,0.0,0,-0.14,-0.29,0.32,216.81
2017-11-20,240.47,240.82,240.21,240.62,48075500,0.0,0,0.06,0.17,0.26,217.18
2017-11-21,241.44,242.39,240.58,242.19,69176800,0.0,0,0.31,0.65,0.75,218.6
2017-11-22,242.2,242.34,241.8,241.98,45033400,0.0,0,-0.09,-0.09,0.22,218.41
2017-11-24,242.5,242.65,242.35,242.54,27856500,0.0,0,0.02,0.23,0.12,218.91
2017-11-27,242.58,242.9,242.2,242.42,52274900,0.0,0,-0.07,-0.05,0.29,218.8
2017-11-28,242.91,244.9,242.81,244.88,98971700,0.0,0,0.81,1.01,0.86,221.02
2017-11-29,245.01,245.58,244.25,244.73,77512100,0.0,0,-0.12,-0.06,0.55,220.89
2017-11-30,245.7,247.84,245.62,246.87,127894400,0.0,0,0.47,0.88,0.9,222.82
2017-12-01,246.64,247.15,242.91,246.36,164390900,0.0,0,-0.11,-0.21,1.74,222.36
2017-12-04,248.08,248.54,246.0,246.06,94040600,0.0,0,-0.81,-0.12,1.03,222.09
2017-12-05,245.17,247.0,245.03,245.17,77994500,0.0,0,-0.0,-0.36,0.8,221.29
2017-12-06,245.28,245.68,244.73,245.22,75898600,0.0,0,-0.02,0.02,0.39,221.34
2017-12-07,245.99,246.33,244.94,245.99,77218600,0.0,0,-0.0,0.32,0.57,222.03
2017-12-08,247.01,247.34,245.96,247.33,76563900,0.0,0,0.13,0.55,0.56,223.24
2017-12-11,248.08,248.14,247.31,248.08,83077500,0.0,0,0.0,0.3,0.34,223.92
2017-12-12,248.92,249.02,248.12,248.52,85195800,0.0,0,-0.16,0.18,0.36,224.31
2017-12-13,248.78,249.24,248.4,248.49,102905400,0.0,0,-0.12,-0.01,0.34,224.29
2017-12-14,248.81,248.93,247.42,247.47,100666700,0.0,0,-0.54,-0.41,0.61,223.37
2017-12-15,248.54,250.03,248.49,249.53,144610300,1.35,0,0.4,1.38,0.62,225.23
2017-12-18,251.02,251.49,250.91,251.12,83653600,0.0,0,0.04,0.63,0.23,226.66
2017-12-19,251.38,251.43,250.08,250.15,82382900,0.0,0,-0.49,-0.38,0.54,225.79
2017-12-20,251.18,251.24,249.7,250.02,76751500,0.0,0,-0.46,-0.05,0.61,225.67
2017-12-21,250.69,251.3,250.27,250.54,67032300,0.0,0,-0.06,0.21,0.41,226.13
2017-12-22,250.56,250.59,249.9,250.47,78720900,0.0,0,-0.03,-0.03,0.28,226.08
2017-12-26,250.04,250.41,249.89,250.17,45244400,0.0,0,0.05,-0.12,0.21,225.8
2017-12-27,250.35,250.68,250.0,250.29,57751000,0.0,0,-0.02,0.05,0.27,225.91
2017-12-28,250.83,250.86,250.42,250.81,45116100,0.0,0,-0.01,0.21,0.18,226.38
2017-12-29,251.43,251.45,249.66,249.86,96007400,0.0,0,-0.62,-0.38,0.72,225.53
